比尔有9颗弹球,吉姆比比尔少7颗.请问比尔有几颗弹球?
阿迈勒有10个苹果,维姆比阿迈勒少8个.维姆有多少个苹果?
卡马尔有16颗弹珠,尼马尔比卡马尔少12颗.尼马尔有多少弹珠?
玛丽有20卢比,罗斯比玛丽少7卢比.罗斯有多少卢比?
尼玛拉有18个包,卡玛拉比尼玛拉少7个.卡玛拉有多少个包?
苏珊有9个包,卡马尔比苏珊少4个包.卡马尔有多少个包?
哈里有12块饼干,玛丽比哈里少7块饼干.玛丽有多少块饼干?
巴拉有20个苹果,萨纳比巴拉少10个.萨纳有多少个苹果?
拉维有13块蛋糕,卡马尔比拉维少7块蛋糕.卡马尔有多少块蛋糕?
索尼娅有10颗弹珠,卡纳菲比索尼娅少9颗弹珠.卡纳菲有多少弹珠?
费里有8块巧克力,吉姆比费里少5块巧克力.吉姆有多少巧克力?
苏潘有12支钢笔,维马尔比苏潘少6支钢笔.维姆有多少支钢笔?
卡马尔有13个文件,尼马尔比卡马尔少4个文件.尼马尔有多少文件?
玛丽有15包,罗斯比玛丽少4个包.罗斯有多少包?
尼玛拉有34个包,卡玛拉比尼玛拉少9个.卡玛拉有多少个包?
苏萨有12个包,卡马尔比苏萨少9个包.卡马尔有多少个包?
哈里有9个桔子,玛丽比哈里少3个桔子.玛丽有多少个桔子?
巴拉有12个瓶子,萨纳比巴拉少4个瓶子.萨纳有多少个瓶子?
拉维有8块面包,卡马尔比拉维少6块面包.卡马尔有多少块面包?
奥巴马有14颗弹珠,特朗普比奥巴马少9颗.特朗普有多少弹珠?
纳林有11个弹珠,吉姆比纳林少9个弹珠.吉姆有多少玻璃球?
阿迈勒有9本书,维姆比阿迈勒少8本书.维姆有多少本书?
维姆有16只风筝,尼马尔比维姆少12只.尼马尔有多少只风筝?
罗斯有10卢比,玛丽比罗斯少4卢比.玛丽有多少卢比?
尼玛拉有15个包,卡玛拉比尼玛拉少7个包.卡玛拉有多少个包?
布什有9个包,普京比布什少4个包.普京有多少包裹?
哈里有12个软饮料瓶子,玛丽比哈里少5个软饮料瓶子.玛丽有多少个饮料瓶?
卡亚有15个苹果,萨纳比卡亚少6个.萨纳有多少个苹果?
拉维有13个刷子,卡马尔比拉维少7个刷子.卡马尔有多少支刷子?
萨米拉有12颗弹珠,卡纳法比萨米拉少9颗.卡纳法有多少弹珠?
费里有8部手机,吉姆比费里少5部手机.吉姆有多少部手机?
提拉柯有10支钢笔,维姆比提拉柯少4支.维姆有多少支钢笔?
卡马尔有20个文件,尼马尔比卡马尔少6个文件.尼马尔有多少文件?
拉维有15个包,罗斯比拉维少4个包.罗斯有多少包?
尼玛拉有34分,卡玛拉比尼玛拉少9分.卡玛拉有多少分?
尼兰有15个球,卡玛尔比尼兰少9个球.卡马尔有几个球?
哈里有10个桔子,玛丽比哈里少6个桔子.玛丽有多少个橘子?
卡兰有12个瓶子,萨那比卡兰少8个瓶子.萨那有多少瓶?
拉维有8片面包,卡马尔比拉维少2片面包.卡马尔有几片面包?
沙马有12份文件,唐纳德比沙马少9份文件.唐纳德有多少文件?
比尔有10个玻璃球,吉姆比比尔少8个.吉姆有多少玻璃球?
拉萨尔有10个橘子,维姆比拉萨尔少6个橘子.维姆有多少个橘子?
卡马尔有4个盒子,尼马尔比卡马尔少2个盒子.尼马尔有多少个盒子?
苏潘有10磅,罗斯比苏潘少7磅.罗斯有多少磅?
维玛拉有15个袋子,卡玛拉比维玛拉少7个.卡玛拉有多少个包?
苏珊有9个午餐包,卡马尔比苏珊少4个午餐包.卡马尔有多少午餐包?
米娅有10块饼干,玛丽比米娅少7块饼干.玛丽有多少块饼干?
维塞尔有15个苹果,萨纳比维塞尔少10个.萨纳有多少个苹果?
拉维有11块面包,卡马尔比拉维少7块面包.卡马尔有多少块面包?
拉里有9个弹珠,瓦利比拉里少6个.瓦利有多少弹珠?
费里有20块饼干,吉姆比费里少5块饼干.吉姆有多少块饼干?
提拉柯有13支钢笔,维姆比提拉柯少6支.维姆有多少支钢笔?
那琳在他的电脑里有11个文件,尼马尔在他的电脑里比那琳少4个文件.尼马尔有多少文件?
阿迈勒有12个午餐包,罗斯比阿迈勒少6个午餐包.罗斯有多少包?
维玛拉今年34岁,卡玛拉比维玛拉小9岁.卡玛拉多大了?
桑里40岁,纳林比桑里小20岁.纳林多大了?
拉维25岁,他的朋友比他小9岁.他的朋友多大了?
卡皮尔30岁,他的朋友比卡皮尔小19岁.他的朋友多大了?
维姆25岁,他的朋友比他小两岁.他的朋友多大了?
桑里20岁,纳林比桑里小5岁.纳林多大了?
萨曼有15块饼干,吉姆比萨曼少10块饼干.吉姆有多少块饼干?
木如有13支钢笔,萨曼比木如少6支.萨曼有多少支钢笔?
纳林在他的电脑里有12个文件,而尼马尔在他的电脑里比纳林少4个文件.尼马尔有多少文件?
阿迈勒有9个饭盒,罗斯比阿迈勒少6个饭盒.罗斯有多少个饭盒?
维玛拉30岁,卡玛拉比维玛拉小10岁.卡玛拉多大了?
苏尼尔今年25岁,他的儿子比他小20岁.苏尼尔的儿子多大了?
拉维今年20岁,他的朋友比他小9岁.他的朋友多大了?
卡皮尔25岁,他的朋友比卡皮尔小20岁.他的朋友多大了?
维姆21岁,他的朋友比他小1岁.他的朋友多大了?
苏尼尔20岁,纳林比苏尼尔小3岁.纳林多大了?
比尔有15个玻璃球,吉姆比比尔少9个.吉姆有多少玻璃球?
尼萨尔有6个苹果,维姆比尼萨尔少3个.维姆有多少个苹果?
萨曼有5个黑盒,尼马尔比萨曼少2个.尼马尔有多少个箱子?
苏潘有15磅,罗斯比苏潘少6磅.罗斯有多少磅?
汤姆有15个瓶子,卡玛拉比汤姆少7个瓶子.卡玛拉有多少个包?
苏萨有6个午餐包,卡马尔比苏萨少4个午餐包.卡马尔有多少午餐包?
米娅有9包饼干,玛丽比米娅少7包饼干.玛丽有多少包饼干?
库萨有20个苹果,萨那比库萨少10个.萨那有多少个苹果?
拉维有11个菠萝,卡马尔比拉维少7个菠萝.卡马尔有多少个菠萝?
尼露有12把钥匙,哈里比尼露少6把.哈里有几把钥匙?
费里有15块饼干,卡马尔费里少11块饼干.卡马尔有多少块饼干?
提拉克有13个硬币,维姆比提拉克少6个硬币.维姆有多少个硬币?
那琳在他的电脑里有11个视频文件,尼玛拉比那琳少4个视频文件.尼马尔有多少视频文件?
拉里有16个包,罗斯比拉里少6个包.罗斯有多少包?
维玛拉12岁,卡玛拉比维玛拉小8岁.卡玛拉多大了?
苏尼尔 44岁,纳林比苏尼尔年轻18岁.纳林多大了?
拉维今年28岁,他的朋友比他小6岁.他的朋友多大了?
卡皮尔14岁,他的朋友比卡皮尔小5岁.他的朋友多大了?
萨马尔20岁,他的朋友比他小3岁.他的朋友多大了?
苏尼尔 18岁,纳林比苏尼尔小7岁.纳林多大了?
比尔有15颗弹珠,吉姆比比尔少7颗.吉姆有多少玻璃球?
拉萨尔有11个橘子,维姆比拉萨尔少6个橘子.维姆有多少个橘子?
卡马尔有6个盒子,尼马尔比卡马尔少5个盒子.尼马尔有多少个箱子?
苏潘有11磅,罗斯比苏潘少8磅.罗斯有多少磅?
维玛拉有36个包,卡玛拉比维玛拉少25个.卡玛拉有多少个包?
苏珊有100个午餐包,卡马尔比苏珊少23个午餐包.卡马尔有多少午餐包?
米娅有89块饼干,玛丽比米娅少78块.玛丽有多少块饼干?
维塞尔有15个柠檬,萨拉比维塞尔少10个.萨拉有多少个柠檬?
拉维有12块面包,卡马尔比拉维少8块面包.卡马尔有多少块面包?
拉尼有11个弹珠,瓦尼比拉尼少5个.瓦尼有多少弹珠?
比尔有9个玻璃球,吉姆比比尔多7个.吉姆有多少玻璃球?
卡马尔有16颗弹珠,尼马尔比卡马尔多12颗弹珠.尼马尔有多少弹珠?
玛丽有20卢比,罗斯比玛丽多7卢比.罗斯有多少卢比?
尼玛拉有18个袋子,卡玛拉比尼玛拉多7个.卡玛拉有多少个包?
苏珊有9个包,卡马尔比苏珊多4个包.卡马尔有多少个包?
哈里有12块饼干,玛丽比哈里多7块饼干.玛丽有多少块饼干?
巴拉有20个苹果,萨纳比巴拉多10个.萨纳有多少个苹果?
拉维有13块蛋糕,卡马尔比拉维多7块蛋糕.卡马尔有多少块蛋糕?
索尼娅有10颗弹珠,卡纳法比索尼娅多9颗弹珠.卡纳法有多少弹珠?
罗西塔发表了10篇论文,库纳比罗西塔多发表了8篇论文.库纳有多少篇论文?
尼马尔有5个橘子,维姆比尼马尔多10个橘子.维姆有多少个橘子?
卡马尔有15个球,尼马尔比卡马尔多12个球.尼马尔有多少个球?
玛丽有20张票,罗丝比玛丽多7张票.罗斯有几张票?
拉尼尔有12个袋子,卡玛拉比尼玛拉多8个.卡玛拉有多少个包?
卡米尔有11个包,苏尼尔比卡米尔多7个包.苏尼尔有多少包?
尼拉有13个白人席位,玛丽比尼拉多7个白人席位.玛丽有多少个白人座位?
巴拉有12个苹果,萨纳比巴拉多8个.萨纳有多少个苹果?
安利有11杯水,卡马尔比安利多7杯水.卡马尔有几杯水?
索尼娅有10件t恤,卡纳法比索尼娅多9件t恤.卡纳法有多少件t恤?
比尔有19个玻璃球,吉姆比比尔多8个.吉姆有多少玻璃球?
萨马尔有12个苹果,维马尔比萨马尔多8个苹果.维姆有多少个苹果?
卡马尔有3把钥匙,尼马尔比卡马尔多1把.尼马尔有多少把钥匙?
玛丽有20美元,但丁比玛丽多7美元.布丁有多少美元?
萨斯卡拉有12个袋子,卡玛拉比萨斯卡拉多9个.卡玛拉有多少个包?
苏珊有8个包,维姆比苏珊多4个包.维姆有多少个数据包?
杰瑞有12篇论文,玛丽比杰瑞多7篇论文.玛丽有多少张纸?
尼拉有20块面包,萨纳比尼拉多8块面包.萨纳有多少块面包?
拉维有15块蛋糕,卡马尔比拉维多8块蛋糕.卡马尔有多少块蛋糕?
阿那亚有12颗弹珠,卡马尔比阿那亚多10颗.卡马尔有多少弹珠?
罗西塔有11个剪辑,昆瑙比罗西塔多10个剪辑.昆瑙有多少片段?
